Time [s],Channel 0
12.341521300,0
12.341530400,1
12.341573400,0
12.341590100,1
12.341618400,0
12.341644300,1
12.341652900,0
12.341678100,1
12.341686900,0
12.341694700,1
12.341714800,0
12.341757500,1
12.341766200,0
12.341774500,1
12.341811400,0
12.341828900,1
12.341837500,0
12.341854300,1
12.341862900,0
12.341879700,1
12.341907900,0
12.341917000,1
12.341942800,0
12.341968000,1
12.342004800,0
12.342013900,1
12.342031200,0
12.342039500,1
12.342102200,0
12.342111200,1
12.342137000,0
12.342153700,1
12.342162500,0
12.342178700,1
12.342198800,0
12.342216300,1
12.342225000,0
12.342258600,1
12.342295400,0
12.342338100,1
12.342364000,0
12.342371900,1
12.342392000,0
12.342426300,1
12.342435000,0
12.342451700,1
12.342488500,0
12.342497600,1
12.342506200,0
12.342523000,1
12.342531600,0
12.342540000,1
12.342557300,0
12.342565100,1
12.342585200,0
12.342594300,1
12.342602900,0
12.342619700,1
12.342628300,0
12.342636700,1
12.342645300,0
12.342653600,1
12.342682000,0
12.342699400,1
12.342716700,0
12.342758200,1
12.342778200,0
12.342812500,1
12.342875100,0
12.342901000,1
12.342909700,0
12.342918000,1
12.342926600,0
12.342935000,1
12.343530900,0
12.343539400,1
12.343548100,0
12.343573800,1
12.343591100,0
12.343599600,1
12.372845600,0
12.372854600,1
12.372863300,0
12.372871600,1
12.372888800,0
12.372905600,1
12.372914300,0
12.372922200,1
12.372942300,0
12.372951300,1
12.372968700,0
12.372985300,1
12.372994000,0
12.373002300,1
12.373011000,0
12.373018900,1
12.373039000,0
12.373048100,1
12.373074000,0
12.373115500,1
12.373135600,0
12.373144700,1
12.373153300,0
12.373170100,1
12.373232600,0
12.373283800,1
12.373292500,0
12.373308800,1
12.373328900,0
12.373338000,1
12.373355300,0
12.373372000,1
12.373380600,0
12.373397400,1
12.373425600,0
12.373434700,1
12.373460500,0
12.373468900,1
12.373477500,0
12.373485900,1
12.373522700,0
12.373548600,1
12.373557300,0
12.373590900,1
12.373619200,0
12.373628200,1
12.373636900,0
12.373645200,1
12.373671000,0
12.373687800,1
12.373716000,0
12.373733500,1
12.373742200,0
12.373775800,1
12.373784400,0
12.373792300,1
12.373812400,0
12.373821500,1
12.373830300,0
12.373846900,1
12.373872800,0
12.373881100,1
12.373909300,0
12.373926800,1
12.373944100,0
12.373977700,1
12.374006000,0
12.374015000,1
12.374032200,0
12.374082200,1
12.374102300,0
12.374119800,1
12.374128500,0
12.374136800,1
12.374162700,0
12.374179000,1
12.374199100,0
12.374208100,1
12.374216900,0
12.374267200,1
12.374295500,0
12.374321400,1
12.374330100,0
12.374338400,1
12.374347100,0
12.374355400,1
12.374392300,0
12.374401300,1
12.374410000,0
12.374418300,1
12.374435500,0
12.374443900,1
12.374489200,0
12.374498300,1
12.374515600,0
12.374532300,1
12.374549500,0
12.374565900,1
12.374585900,0
12.374611800,1
12.374629100,0
12.374637400,1
12.374646100,0
12.374654400,1
12.374682600,0
12.374742200,1
12.374779100,0
12.374788100,1
12.374796800,0
12.374805000,1
12.374822400,0
12.374830600,1
12.374847900,0
12.374855800,1
12.374875800,0
12.374918600,1
12.375532700,0
12.375541200,1
12.375549900,0
12.375558400,1
12.375567100,0
12.375575600,1
12.375584300,0
12.375601400,1
12.406845600,0
12.406854700,1
12.406863300,0
12.406871700,1
12.406888900,0
12.406905600,1
12.406914400,0
12.406922200,1
12.406942400,0
12.406951400,1
12.406968600,0
12.406985400,1
12.406994100,0
12.407002400,1
12.407011100,0
12.407019000,1
12.407039100,0
12.407048100,1
12.407074000,0
12.407115500,1
12.407135600,0
12.407144700,1
12.407153400,0
12.407170100,1
12.407178800,0
12.407187100,1
12.407232500,0
12.407283700,1
12.407292400,0
12.407308700,1
12.407328900,0
12.407337900,1
12.407355200,0
12.407371900,1
12.407380500,0
12.407397300,1
12.407425500,0
12.407434600,1
12.407443300,0
12.407460000,1
