Time [s],Channel 0,Channel 1
101.899049400,1,0
101.899259300,0,0
101.899363700,1,0
101.899718700,0,0
101.899826600,1,0
101.900865400,0,0
101.900971600,1,0
101.902010400,0,0
101.902116800,1,0
101.902218900,0,0
101.902948800,1,0
101.903155600,0,0
101.903366100,1,0
101.903571900,0,0
101.904093800,1,0
101.904300600,0,0
101.905239000,1,0
101.905446500,0,0
101.905552500,1,0
101.905758700,0,0
101.906384600,1,0
101.906591700,0,0
101.906698100,1,0
101.906800400,0,0
101.907218500,1,0
101.907320300,0,0
101.907530300,1,0
101.907737300,0,0
101.907843900,1,0
101.907946000,0,0
101.908675900,1,0
101.908883100,0,0
101.909301700,1,0
101.909403500,0,0
101.909821500,1,0
101.910028200,0,0
101.910134600,1,0
101.910340700,0,0
101.910446800,1,0
101.910548600,0,0
101.910758700,1,0
101.916046900,0,0
102.209322300,1,0
102.214324300,0,0
102.214429100,1,0
102.215480100,0,0
102.215583900,1,0
102.216635200,0,0
102.216739600,1,0
102.216844400,0,0
102.217578600,1,0
102.217791300,0,0
102.218105600,1,0
102.218210900,0,0
102.218734700,1,0
102.218947500,0,0
102.219156800,1,0
102.219261500,0,0
102.219366400,1,0
102.219471600,0,0
102.219786000,1,0
102.220103200,0,0
102.221046500,1,0
102.221261200,0,0
102.221575600,1,0
102.221680900,0,0
102.222204800,1,0
102.222419700,0,0
102.222733900,1,0
102.222943800,0,0
102.223048200,1,0
102.223258100,0,0
102.223362500,1,0
102.223717900,0,0
102.223825800,1,0
102.224864500,0,0
102.224970800,1,0
102.226009500,0,0
102.226115900,1,0
102.226218000,0,0
102.226947800,1,0
102.227154600,0,0
102.227365200,1,0
102.227570900,0,0
102.228092800,1,0
102.228299600,0,0
102.229238000,1,0
102.229445400,0,0
102.229551500,1,0
102.229757600,0,0
102.230383400,1,0
102.230590600,0,0
102.230697000,1,0
102.230799300,0,0
102.231217300,1,0
102.231319100,0,0
102.231529100,1,0
102.231736100,0,0
102.231842700,1,0
102.231944800,0,0
102.232674700,1,0
102.232881800,0,0
102.233300400,1,0
102.233402300,0,0
102.233820200,1,0
102.234026900,0,0
102.234133300,1,0
102.234339400,0,0
102.234445500,1,0
102.234547300,0,0
102.234757400,1,0
102.240046300,0,0
102.577317600,1,0
102.582319200,0,0
102.582423500,1,0
102.583474700,0,0
102.583579100,1,0
102.584630000,0,0
102.584734800,1,0
102.584840100,0,0
102.585574300,1,0
102.585787500,0,0
102.586102300,1,0
102.586207100,0,0
102.586730900,1,0
102.586943600,0,0
102.587152900,1,0
102.587258200,0,0
102.587363100,1,0
102.587467800,0,0
102.587782600,1,0
