Time [s],Value,Parity Error,Framing Error
-2.963299700000000,0x01,,
-2.962143700000000,0x04,,
-2.960987000000000,0x8A,,
-2.959830600000000,0x00,,
-2.958671300000000,0x04,,
-2.957511800000000,0x6C,,
-2.956218800000000,0xFF,,
-2.955072300000000,0xFF,,
-2.953927400000000,0x01,,
-2.952781800000000,0x06,,
-2.951636900000000,0x00,,
-2.950490700000000,0x03,,
-2.949345600000000,0x21,,
-2.948199900000000,0x01,,
-2.947054500000000,0x08,,
-2.945909500000000,0xCB,,
-2.939890700000000,0x00,,Error
-2.626610700000000,0xFF,,
-2.625455000000000,0xFF,,
-2.624298900000000,0x01,,
-2.623143400000000,0x04,,
-2.621986800000000,0x8A,,
-2.620830900000000,0x00,,
-2.619673000000000,0x04,,
-2.618514500000000,0x6C,,
-2.617216900000000,0xFF,,
-2.616070700000000,0xFF,,
-2.614925200000000,0x01,,
-2.613780300000000,0x06,,
-2.612634800000000,0x00,,
-2.611489300000000,0x03,,
-2.610343600000000,0x21,,
-2.609198200000000,0x01,,
-2.608052900000000,0x08,,
-2.606907800000000,0xCB,,
-2.600886100000000,0x00,,Error
-2.293610100000000,0xFF,,
-2.292454600000000,0xFF,,
-2.291299200000000,0x01,,
-2.290142400000000,0x04,,
-2.288986100000000,0x8A,,
-2.287829900000000,0x00,,
-2.286672000000000,0x04,,
-2.285513500000000,0x6C,,
-2.284216500000000,0xFF,,
-2.283070200000000,0xFF,,
-2.281924700000000,0x01,,
-2.280779800000000,0x06,,
-2.279634300000000,0x00,,
-2.278488800000000,0x03,,
-2.277343100000000,0x21,,
-2.276197700000000,0x01,,
-2.275052400000000,0x08,,
-2.273907300000000,0xCB,,
-2.267887900000000,0x00,,Error
-1.987614200000000,0xFF,,
-1.986457800000000,0xFF,,
-1.985302700000000,0x01,,
-1.984147200000000,0x04,,
-1.982991100000000,0x8A,,
-1.981834800000000,0x00,,
-1.980676600000000,0x04,,
-1.979518100000000,0x6C,,
-1.978221100000000,0xFF,,
-1.977074800000000,0xFF,,
-1.975929200000000,0x01,,
-1.974784300000000,0x06,,
-1.973638700000000,0x00,,
-1.972493200000000,0x03,,
-1.971347400000000,0x21,,
-1.970202000000000,0x01,,
-1.969056500000000,0x08,,
-1.967911300000000,0xCB,,
-1.961891600000000,0x00,,Error
-1.676622000000000,0xFF,,
-1.675466700000000,0xFF,,
-1.674311500000000,0x01,,
-1.673154500000000,0x04,,
-1.671998300000000,0x8A,,
-1.670841900000000,0x00,,
-1.669684000000000,0x04,,
-1.668525600000000,0x6C,,
-1.667229000000000,0xFF,,
-1.666082500000000,0xFF,,
-1.664937600000000,0x01,,
-1.663792500000000,0x06,,
-1.662647600000000,0x00,,
-1.661501800000000,0x03,,
-1.660356700000000,0x21,,
-1.659211300000000,0x01,,
-1.658065700000000,0x08,,
-1.656920700000000,0xCB,,
-1.650902900000000,0x00,,Error
-1.366622100000000,0xFF,,
-1.365466800000000,0xFF,,
-1.364311500000000,0x01,,
-1.363154000000000,0x04,,
-1.361997800000000,0x8A,,
-1.360841900000000,0x00,,
-1.359683800000000,0x04,,
-1.358525600000000,0x6C,,
-1.357229400000000,0xFF,,
-1.356083100000000,0xFF,,
-1.354937600000000,0x01,,
-1.353792800000000,0x06,,
-1.352647300000000,0x00,,
-1.351501800000000,0x03,,
-1.350356100000000,0x21,,
-1.349210700000000,0x01,,
-1.348065300000000,0x08,,
-1.346920200000000,0xCB,,
-1.340902500000000,0x00,,Error
-1.037625800000000,0xFF,,
-1.036469900000000,0xFF,,
-1.035313900000000,0x01,,
-1.034157900000000,0x04,,
-1.033001700000000,0x8A,,
-1.031845400000000,0x00,,
-1.030687500000000,0x04,,
-1.029528700000000,0x6C,,
-1.028232200000000,0xFF,,
-1.027085700000000,0xFF,,
-1.025940800000000,0x01,,
-1.024795800000000,0x06,,
-1.023650900000000,0x00,,
-1.022505300000000,0x03,,
-1.021360200000000,0x21,,
-1.020214800000000,0x01,,
-1.019069300000000,0x08,,
-1.017924300000000,0xCB,,
-1.011906300000000,0x00,,Error
-0.721630100000000,0xFF,,
-0.720474100000000,0xFF,,
-0.719318400000000,0x01,,
-0.718162400000000,0x04,,
-0.717006300000000,0x8A,,
-0.715850500000000,0x00,,
-0.714692800000000,0x04,,
-0.713534600000000,0x6C,,
-0.712236900000000,0xFF,,
-0.711090400000000,0xFF,,
-0.709945600000000,0x01,,
-0.708800500000000,0x06,,
-0.707655700000000,0x00,,
-0.706510000000000,0x03,,
-0.705365000000000,0x21,,
-0.704219600000000,0x01,,
-0.703074000000000,0x08,,
-0.701929100000000,0xCB,,
-0.695911500000000,0x00,,Error
-0.415632100000000,0xFF,,
-0.414476800000000,0xFF,,
-0.413321700000000,0x01,,
-0.412166300000000,0x04,,
-0.411009200000000,0x8A,,
-0.409852900000000,0x00,,
-0.408694200000000,0x04,,
-0.407535000000000,0x6C,,
-0.406240200000000,0xFF,,
-0.405093900000000,0xFF,,
-0.403948400000000,0x01,,
-0.402803500000000,0x06,,
-0.401658000000000,0x00,,
-0.400512400000000,0x03,,
-0.399366700000000,0x21,,
-0.398221300000000,0x01,,
-0.397075900000000,0x08,,
-0.395930800000000,0xCB,,
-0.389911500000000,0x00,,Error
-0.115638500000000,0xFF,,
-0.114482500000000,0xFF,,
-0.113326300000000,0x01,,
-0.112170700000000,0x04,,
-0.111014700000000,0x8A,,
-0.109858500000000,0x00,,
-0.108700700000000,0x04,,
-0.107542500000000,0x6C,,
-0.106244100000000,0xFF,,
-0.105097600000000,0xFF,,
-0.103952700000000,0x01,,
-0.102807600000000,0x06,,
-0.101662700000000,0x00,,
-0.100517000000000,0x03,,
-0.099371900000000,0x21,,
-0.098226600000000,0x01,,
-0.097081000000000,0x08,,
